For events definition screenshots ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Event Name,Description,"Sample button
/URL",Property Name,isMandated,Property Value Type,Property Description,Suggested values (Red colored values are fixed allowed values),Standardisation,DBS/POSB SG PL Full API,SCB SG CC Full API,SCB SG PL Full API,OCBC Bot Service,CI FWD ,CI Etiqa,CI Wizard,Home Loan - TDSR Calculator,Home Loan - Property Tax Calculator,Home Loan - Stamp Duty Calculator,Home Loan - Refinance Calculator,Home Loan - MSR Calculator,Home Loan - Mortgage Calculator,Home Loan - Progressive Payment Calculator,Home Loan - Property Valuation Calculator,Home Loan HK - Mortgage Calculator,Home Loan HK - Property Valuation Calculator,Mortgage Home Page,New Purchase Home Page,Refinance Home Page,"New Listing Service
HK TI",Product Widgets
,,,,,,,,,,,,,Link,,,,,,,,,,,,,,,,,,
1,LeadGeneration.ClickConversion,"Tracks events that lead directly to a conversion.
This should lead to direct business value Eg- 
action, lead or conversion","- Apply Now
- Buy Now
- GoToSite
- Learn More/Apply Now
   in sponsored banner
- EnquireNow
- Submit",channel,TRUE,string,Product channel,"home-loan,refinancing,home-equity-loan,renovation-loan,
education-loan,car-loan,debt-consolidation-loan,personal-loan,
car-insurance,home-insurance,mortgage-insurance,travel-insurance,
life-insurance,personal-accident-insurance,health-insurance,
maid-insurance,international-health,fixed-deposit,savings-account,
credit-cards,tax-loan,lending-companies-loan,debt-consolidation-plan,banks-loan,blog",Listing and details page,,,,,,,/car-insurance,,,,,,,,,,,,,,travel-insurance,"credit-cards,personal-loan,travel-insurance"
,,,,pageType,TRUE,string,Type of page user landed,"home-page,product-listing,product-details,blog-home-page, 
blog-category-listing, blog-article-details, form-page, login-page,
redirect-page, widgets, thank-you, interstitial-page,lps",,,,,,,,,,,,,,,,,,,,,,,
,,,,language,TRUE,string,Locale of the page,"en,zh-hk",,,,,,,,buy-now/call-now/instant-purchase,,,,,,,,,,,,,,buy-now,left blanks
,,,,country,TRUE,string,which market this events happened,"sg,hk,tw,ph,id",,,,,,,,xxx,,,,,,,,,,,,,,eg 331,integer value greater than or equal to 1
,,,,provider,TRUE,string,Unique Identifier of the provider,citibank,,,,,,,,xxx,,,,,,,,,,,,,,eg 4,integer value greater than or equal to 1
,,,,productCategory,TRUE,string,Unique Identifier of the product category,best-credit-cards,,,,,,,,xxx,,,,,,,,,,,,,,N/A,integer value greater than or equal to 1
,,,,listPosition,TRUE,string,The position of the product in the list when the user had clicked to apply. This property only applies when the user is interacting with the button on the listing page,"1, 2, 3, 4",,,,,,,,context.listPosition,,,,,,,,,,,,,,eg 1,integer value greater than or equal to 1
,,,,isSponsored,TRUE,string,Flag to indicate whether the product is a sponsored product or not,"true, false",,,,,,,,,,,,,,,,,,,,,,Yes,"true,false"
,,,,isRecommended,TRUE,string,Flag to indicate whether the product is a recommended product by Moneysmart,"true, false",,,,,,,,,,,,,,,,,,,,,,N/A,"true,false"
