Origin,Target,Type,Format
"/banner_ad/mitsubishi-top-mobile","/banner_ad/ktadbs/","301","plain"
"/5-orang-terkenal-ini-sukses-walau-dulu-dipandang-sebelah-mata","/5-orang-sukses-ini-sukses-walau-dulu-dipandang-sebelah-mata/","301","plain"
"/bisnis-otomotif-di-lapangan-hijau","/bisnis-otomotif-di-lapangan-sepak-bola/","301","plain"
"/5-smartphone-yang-mengguncang-diawal-2014","/smartphone-yang-siap-mengguncang-di-2014/","301","plain"
"/gaji-pertama-para-first-jobber-2","/gaji-pertama-para-first-jobber/","301","plain"
"/biaya-mudik-di-akhir-tahun","/biaya-mudik-di-tahun-baru/","301","plain"
"/merencanakan-masa-pensiun","/merencanakan-dana-pensiun/","301","plain"
"/ini-lho-cara-cepat-bayar-pajak-dan-lapor-spt-dengan-djp-online","/djp-online-cara-cepat-bayar-pajak-lapor-spt/","301","plain"
"/mau-kredit-pahami-skor-kredit-anda","/skor-kredit-harus-dipahami/","301","plain"
"/kredit-spesial-dihari-istimewa","/kredit-spesial-di-hari-kasih-sayang/","301","plain"
"/mengenal-bilyet-giro-manfaat-dan-cara-mencairkannya","/bilyet-giro-manfaat-dan-cara-mencairkannya/","301","plain"
"/bilyet-giro-manfaat-dan-cara-mencairkannya","/bilyet-giro-manfaat-cara-mencairkannya/","301","plain"
"/wujudkan-rumah-impian-melalui-kpr","/rumah-idaman-melalui-kpr/","301","plain"
"/tips-cerdas-merawat-mobil-sendiri","/merawat-mobil-dengan-efisien/","301","plain"
"/exoctic-food-asal-indonesia-diminati-orang-kanada","/makanan-eksotis-asal-indonesia/","301","plain"
"/kredit-rumah-atau-mobil","/kredit-rumah-atau-mobil-ketahui-di-sini/","301","plain"
"/buka-usaha-itu-mesti-enjoy","/buka-bisnis-sendiri/","301","plain"
"/kartu-kredit-untuk-liburan-ya-atau-tidak","/kartu-kredit-untuk-liburan/","301","plain"
"/ojk-aplikasikan-standar-internasional-untuk-asuransi-syariah","/standar-internasional-asuransi-syariah/","301","plain"
"/pengajuan-kta-mesti-dibarengi-komitmen-keuangan-jangka-panjang","/pengajuan-kta/","301","plain"
"/hidup-tenang-tanpa-gajian","/tenang-tanpa-gajian/","301","plain"
"/jaman-makin-canggih-waspadai-penipuan-online-2","/jaman-makin-canggih-waspadai-penipuan-online/","301","plain"
"/siapa-yang-butuh-asuransi-jiwa","/asuransi-jiwa-dan-siapa-yang-membutuhkannya/","301","plain"
"/jaman-makin-canggih-waspadai-penipuan-online-1","/jaman-makin-canggih-waspadai-penipu-online/","301","plain"
"/5-mobil-terlaris-di-indonesia-saat-ini","/mobil-terlaris-di-indonesia-saat-ini/","301","plain"
"/lima-tahun-lagi-indonesia-punya-229-bandara","/bandara-baru-di-indonesia/","301","plain"
"/buka-bisnis-rumahan-modal-kecil-bukan-monopoli-perempuan","/menjalani-bisnis-rumahan/","301","plain"
"/kondisi-ekonomi-bagus-jika-konsumsi-listrik-naik","/konsumsi-listrik-naik-indikator-kondisi-ekonomi/","301","plain"
"/bandara-soetha-lebih-oke-dari-dubai-airport","/bandara-soeta-jadi-bandara-terbaik/","301","plain"
"/wajib-ceriwis-dan-baca-kalkulator-kpr","/kalkulator-kpr-sebelum-beli-rumah/","301","plain"
"/asuransi-bisnis-dapat-menguntungkan-usaha-dagang","/asuransi-bisnis-dan-keuntungannya/","301","plain"
"/duit-orang-ri-di-bank-naik-rp-3-7-triliun","/wah-duit-orang-indonesia-di-bank-naik-rp-37-triliun/","301","plain"
"/6-jenis-toko-online-untuk-anda-ketahui","/jenis-toko-online/","301","plain"
"/ada-tigabelas-juta-nasabah-perbankan-syariah","/perbankan-syariah-dan-nasabahnya/","301","plain"
"/efektif-mengatur-keuangan-sampai-akhir-bulan","/akhir-bulan-selalu-miskin-ubah-dengan-cara-mudah-ini/","301","plain"
"/gaji-pertama-para-first-jobber","/gaji-pertama-untuk-first-jobber-ini-panduan-mudahnya/","301","plain"
"/gong-xi-fa-cai","/liburan-imlek-tiba-ini-pedoman-pilih-paket-buat-jalan-jalan/","301","plain"
"/hindari-panen-bunga-bank-dengan-tarik-dana-tunai-kartu-kredit","/jadikan-kartu-kredit-teman-terbaik-keuanganmu-ya/","301","plain"
"/ingin-kredit-hp-atau-laptop-ingat-bunga-kredit-yang-melangit","/bunga-kredit-selangit-pikir-pikir-dulu-sebelum-menggunakannya/","301","plain"
"/ingin-memulai-usaha-furniture-ini-serba-serbinya-1","/usaha-furniture-gampang-gampang-susah-ini-triknya/","301","plain"
"/ingin-memulai-usaha-furniture-ini-serba-serbinya-2","/usaha-furniture-gampang-gampang-susah-ini-tipsnya/","301","plain"
"/inspirasi-bisnis-dengan-modal-kecil-antarkan-jody-jadi-raja-steak","/bisnis-modal-kecil-antarkan-sosok-ini-jadi-raja-steak/","301","plain"
"/afdolnya-belanja-online-pakai-kartu-kredit","/belanja-online-pakai-kartu-kredit/","301","plain"
"/bujet-evengers-end-game-bakal-lebih-besar-dari-film-sebelumnya","/bujet-avengers-end-game-bakal-lebih-besar-dari-film-sebelumnya/","301","plain"
"/atlantis-water-adventure-diskon-50-persen-nih-yuk-merapat","/atlantis-water-adventure-beri-diskon-50-persen/","301","plain"
"/investasi-emas-dicicil-atau-tunai","/investasi-emas-lebih-baik-tunai-atau-beli-secara-mencicil/","301","plain"
"/inspirasi-chairul-tanjung-buktikan-jadi-kaya-itu-hak-semua-orang","/chairul-tanjung-buktikan-menjadi-sukses-dan-kaya-hak-semua-orang/","301","plain"
"/ipaymu-mau-bayar-apapun-tinggal-jepret-kamera-smartphone","/belanja-online-kian-mudah-dengan-ipaymu-siapa-sudah-coba/","301","plain"
"/jadi-orang-mulia-berkat-pinjaman-lunak-tanpa-jaminan","/utang-gak-selalu-buruk-lho-asal-digunakan-dengan-benar/","301","plain"
"/jadikan-kartu-kredit-alarm-perilaku-konsumtif","/kartu-kredit-seringkali-disalah-artikan-yuk-ubah-cara-pandangmu/","301","plain"
"/jadikan-kaskus-solusi-cara-mencari-uang-lewat-internet","/jual-beli-online-kian-marak-hati-hati-jangan-salah-pilih/","301","plain"
"/jaman-makin-canggih-waspadai-penipu-online","/zaman-serba-makin-canggih-waspadai-penipu-online/","301","plain"
"/jaman-makin-canggih-waspadai-penipuan-online","/zaman-makin-canggih-waspadai-penipuan-online/","301","plain"
"/pertahankan-emas-meski-butuh-atau-cari-uang-cepat","/butuh-uang-cepat/","301","plain"
"/pinjaman-uang-tunai-tanpa-jaminan-bagi-pebisnis-tulen","/pinjaman-uang-tunai/","301","plain"
"/punya-kartu-bpjs-tak-perlu-takut-jadi-korban-phk","/kartu-bpjs/","301","plain"
"/sehatkan-usaha-lewat-bonus-liburan-pekerja","/libur-kerja/","301","plain"
"/bi-bentuk-komite-pasar-valuta-asing","/bank-indonesia-bentuk-komite-pasar-valas/","301","plain"
"/4-peluang-usaha-dengan-modal-kecil-yang-menggiurkan-di-surabaya","/peluang-usaha-dengan-modal-kecil/","301","plain"
"/bisnis-kartu-kredit-tetap-legit-di-tahun-ini","/kartu-kredit-dan-bisnisnya/","301","plain"
"/bisnis-properti-bisa-gagal-kalau-lakukan-5-kesalahan-ini","/bisnis-properti-dan-kesalahan-menjalaninya/","301","plain"
"/camkan-5-poin-ini-sebelum-ambil-kta-untuk-modal-nikah","/cara-ambil-kredit-tanpa-agunana-untuk-nikah/","301","plain"
"/cara-cepat-dan-mudah-mendapatkan-uang-seketika","/pinjaman-uang-dan-cara-mendapatkannya/","301","plain"
"/cara-cerdas-membeli-kendaraan-bermotor-secara-kredit","/kredit-motor-dan-cara-mengambilnya/","301","plain"
"/cuma-4-dari-100-orang-melek-pasar-modal","/pasar-modal-di-indonesia/","301","plain"
"/dampak-pola-hidup-konsumtif","/pola-hidup-konsumtif/","301","plain"
"/deretan-bisnis-tommy-soeharto-yang-bikin-dia-tetap-tajir","/tommy-soeharto-dan-kerajaan-bisnis/","301","plain"
"/cara-memilih-jangka-waktu-kpr","/kpr-rumah-dan-cara-memilihnya/","301","plain"
"/cara-mengatur-keuangan-pribadi","/mengatur-keuangan-pribadi/","301","plain"
"/duit-nasabah-tajir-di-bank-turun","/uang-orang-kaya-di-bank/","301","plain"
"/jangan-patah-arang-cari-rumah-murah","/kredit-rumah-yang-murah/","301","plain"
"/kalau-mampunya-kredit-mobil-bekas-kenapa-paksakan-beli-baru","/kredit-mobil-baru-dan-bekas/","301","plain"
"/cara-ojk-berantas-buta-literasi-keuangan","/ojk-rilis-simolek/","301","plain"
"/cerdas-gunakan-kartu-kredit","/kartu-kredit-dan-cara-memanfaatkannya/","301","plain"
"/temukan-peluang-wirausaha-lewat-berita-media-massa","/peluang-dunia-usaha/","301","plain"
"/tepatkah-mengambil-cicical-untuk-membeli-gadget","/cicilan-smartphone/","301","plain"
"/tips-memiliki-motor-melalui-kredit","/kredit-motor-baru/","301","plain"
"/tips-pendanaan-untuk-membeli-mobil-keluarga","/beli-mobil-keluarga/","301","plain"
"/kenaikan-airport-tax-kerek-tarif-tiket-pesawat-3","/harga-tiket-pesawat-makin-menjulang/","301","plain"
"/konsumen-sudah-sadar-sembako-pasti-naik-jelang-puasa-dan-lebaran","/kenaikan-harga-sembako-gak-buat-konsumen-kapok/","301","plain"
"/melirik-investasi-properti-condotel","/investasi-kondotel-menggiurkan-juga/","301","plain"
"/menentukan-asuransi-yang-tepat","/menentukan-asuransi-yang-tepat-bagi-keluarga/","301","plain"
"/ojk-dana-pihak-ketiga-dpk-tumbuh","/ojk-dana-pihak-ketiga-dpk-tumbuh-kencang/","301","plain"
"/unipin-voucher-game-online-ini-cara-top-up-dan-daftarnya","/unipin-voucher-game-online/","301","plain"
"/moneysmart-id-adalah-media-online-yang-menyajikan-berbagai-informasi-dan-tips-finansial-untuk-anak-muda-indonesia","/tentang-kami/","301","plain"
"/tasya-farasya-beli-make-up-termahal","/tasya-farasya-beli-skincare-termahal/","301","plain"
"/10-seleb-terkaya-sejagad-tahun-2019-mana-idolamu","/10-selebriti-terkaya-di-dunia/","301","plain"
"/bisnis-jual-beli-motor-bekas-dengan-jurus-jitu","/jurus-jitu-bisnis-jual-beli-motor/","301","plain"
"/kolak-pisang-dan-aneka-kreasinya","/resep-kolak-pisang-dan-aneka-kreasinya/","301","plain"
"/biaya-bangun-rumah-idaman-bisa-lebih-hemat-lewat-6-cara-ini","/biaya-bangun-rumah-idaman-bisa-lebih-hemat/","301","plain"
"/harga-jual-motor-bekas-kamu-anjlok-4-penyebabnya","/cara-jual-motor-bekas/","301","plain"
"/ternyata-8-cara-menjadi-kaya-para-miliarder-dunia","/cara-menjadi-kaya-raya-ala-miliarder-dunia/","301","plain"
